1900 Penny       0.01 c US            1000    1700    1450 
1911 Sovereign   1.00 g eNgLaNd      16000   16500   16999 
1922 Crown       0.25 C US            3500    3800    3100 
1933 Dime        0.10 S Us            8999    8666    8111 
1944 Nickel      0.05 c us             300     300     300 
1855 Dollar      1.00 S uS            2500    2501    2502 
1866 Doubloon    2.00 G Spain         1333    1389    1331 
1877 Shilling    0.05 s England       9800    9000    9300 
1888 Florin      1.00 G Italy          560     510     550 
1889 Quarter     0.25 x us            6600    6550    6800 
